trade_date,open_price,close_price
2017-08-09,297.631989,296.027008
2017-08-10,296.960999,295.891998
2017-08-11,294.494995,308.864014
2017-08-12,308.709991,310.601013
2017-08-13,310.365997,298.063995
2017-08-14,298.031006,300.096985
2017-08-15,299.951996,289.817993
2017-08-16,289.819,302.266998
2017-08-17,302.804993,301.457001
2017-08-18,301.696991,295.589996
2017-08-19,296.181,297.470001
2017-08-20,296.644012,301.428009
2017-08-21,300.476013,321.591003
2017-08-22,321.054993,314.785004
2017-08-23,315.265991,317.519012
2017-08-24,317.447998,325.610992
2017-08-25,326.109009,331.915009
2017-08-26,331.98999,333.881989
2017-08-27,334.356995,347.893005
2017-08-28,350.042999,347.747009
2017-08-29,347.964996,370.666992
2017-08-30,369.472992,378.484985
2017-08-31,378.44101,383.041992
2017-09-01,383.46701,387.740997
2017-09-02,387.824005,348.984009
2017-09-03,350.229004,347.484009
2017-09-04,347.132996,295.17099
2017-09-05,297.566986,312.988007
2017-09-06,313.802002,334.338013
2017-09-07,333.519012,329.428009
2017-09-08,329.635986,296.497009
2017-09-09,296.169006,294.404999
2017-09-10,294.063995,288.747009
2017-09-11,289.744995,294.532013
2017-09-12,294.630005,291.463989
2017-09-13,291.122009,277.112
2017-09-14,276.587006,213.908005
2017-09-15,215.220993,250.464005
2017-09-16,250.865997,246.522003
2017-09-17,245.848999,251.748993
2017-09-18,252.227005,293.497009
2017-09-19,293.656006,282.803986
2017-09-20,282.015015,283.742004
2017-09-21,283.263,258.579987
2017-09-22,258.114014,264.309998
2017-09-23,264.598999,286.167999
2017-09-24,286.213989,282.483002
2017-09-25,282.217987,292.332001
2017-09-26,292.346008,287.437988
2017-09-27,287.019989,306.46701
2017-09-28,306.471008,299.154999
2017-09-29,299.119995,291.46701
2017-09-30,291.47699,301.464996
2017-10-01,301.546997,302.337006
2017-10-02,302.481995,297.475006
2017-10-03,297.483002,292.463013
2017-10-04,292.753998,292.65799
2017-10-05,292.77301,295.863007
2017-10-06,295.154999,308.588013
2017-10-07,308.891998,311.123993
2017-10-08,311.05899,308.608002
2017-10-09,308.666992,297.391998
2017-10-10,297.601013,299.869995
2017-10-11,301.181,303.455994
2017-10-12,303.497986,304.135986
2017-10-13,304.07901,338.756989
2017-10-14,338.85199,339.627991
2017-10-15,339.528992,336.595001
2017-10-16,336.710999,333.384003
2017-10-17,333.484009,317.082001
2017-10-18,316.944,314.319
2017-10-19,314.537994,308.088013
2017-10-20,308.04599,304.006012
2017-10-21,303.571991,300.187012
2017-10-22,300.549011,295.446014
2017-10-23,295.096008,286.950012
2017-10-24,287.119995,298.328003
2017-10-25,298.437012,297.924988
2017-10-26,298.022003,296.527008
2017-10-27,296.507996,297.423004
2017-10-28,297.915009,296.298004
2017-10-29,296.381012,305.088013
2017-10-30,304.782013,307.751007
2017-10-31,307.377991,305.878998
2017-11-01,305.761993,291.694
2017-11-02,290.725006,287.428986
2017-11-03,288.497009,305.710999
2017-11-04,305.480988,300.468994
2017-11-05,300.036987,296.263
2017-11-06,296.427002,298.891998
2017-11-07,298.567993,294.658997
2017-11-08,294.270996,309.070007
2017-11-09,308.644989,320.884003
2017-11-10,320.67099,299.252991
2017-11-11,298.585999,314.681
2017-11-12,314.690002,307.90799
2017-11-13,307.024994,316.716003
2017-11-14,316.763,337.631012
2017-11-15,337.963989,333.356995
2017-11-16,333.442993,330.924011
2017-11-17,330.166992,332.394012
2017-11-18,331.980011,347.612
2017-11-19,347.401001,354.385986
2017-11-20,354.093994,366.730011
2017-11-21,367.442993,360.401001
2017-11-22,360.312012,380.652008
2017-11-23,381.438995,410.165985
2017-11-24,412.501007,474.911011
2017-11-25,475.675995,466.276001
2017-11-26,465.973999,471.329987
2017-11-27,471.531006,480.355011
2017-11-28,480.518005,472.902008
2017-11-29,473.281006,427.52301
2017-11-30,431.214996,447.114014
2017-12-01,445.209015,466.540009
2017-12-02,466.851013,463.449005
2017-12-03,463.704987,465.852997
2017-12-04,466.053986,470.20401
2017-12-05,470.294006,463.281006
2017-12-06,462.604004,428.588013
2017-12-07,426.368988,434.40799
2017-12-08,434.989014,456.031006
2017-12-09,457.343994,473.502014
2017-12-10,472.789001,441.721008
2017-12-11,440.358002,515.135986
2017-12-12,522.286011,651.43103
2017-12-13,644.906006,702.767029
2017-12-14,700.593994,695.815979
2017-12-15,696.375977,684.447998
2017-12-16,686.192017,696.208984
2017-12-17,696.237,719.974976
2017-12-18,721.731995,794.64502
2017-12-19,793.901001,826.822998
2017-12-20,827.515991,819.085999
2017-12-21,820.236023,821.062988
2017-12-22,822.643005,674.859985
2017-12-23,681.315979,719.387024
2017-12-24,721.768982,694.14801
2017-12-25,698.869995,765.833984
2017-12-26,763.369995,773.835999
2017-12-27,774.969971,762.84198
2017-12-28,762.208008,737.02301
2017-12-29,740.388977,753.59198
2017-12-30,753.815002,717.257019
2017-12-31,712.211975,756.732971
2018-01-01,755.757019,772.640991
2018-01-02,772.346008,884.44397
2018-01-03,886,962.719971
2018-01-04,961.713013,980.921997
2018-01-05,975.75,997.719971
2018-01-06,995.153992,1041.680054
2018-01-07,1043.01001,1153.170044
2018-01-08,1158.26001,1148.530029
2018-01-09,1146,1299.73999
2018-01-10,1300.339966,1255.819946
2018-01-11,1268.089966,1154.930054
2018-01-12,1158.290039,1273.199951
2018-01-13,1270.469971,1396.420044
2018-01-14,1397.47998,1366.77002
2018-01-15,1365.209961,1291.920044
2018-01-16,1292.630005,1053.689941
2018-01-17,1061.339966,1014.25
2018-01-18,1016.440002,1036.280029
2018-01-19,1028.819946,1039.099976
2018-01-20,1044.949951,1155.150024
2018-01-21,1155.680054,1049.579956
2018-01-22,1055.349976,1003.26001
2018-01-23,1004.169983,986.229004
2018-01-24,987.47699,1058.780029
2018-01-25,1063.219971,1056.030029
2018-01-26,1052.699951,1055.170044
2018-01-27,1055.75,1107.069946
2018-01-28,1111.780029,1246.01001
2018-01-29,1246.699951,1182.359985
2018-01-30,1184.130005,1071.130005
2018-01-31,1071.089966,1118.310059
2018-02-01,1119.369995,1036.790039
2018-02-02,1035.77002,915.784973
2018-02-03,919.210999,964.018982
2018-02-04,964.666992,834.682007
2018-02-05,834.958008,697.950989
2018-02-06,707.737,793.122009
2018-02-07,790.427979,757.067993
2018-02-08,755.843018,817.807007
2018-02-09,818.47998,883.86499
2018-02-10,882.46698,860.414978
2018-02-11,859.288025,814.659973
2018-02-12,817.507996,868.70697
2018-02-13,869.29303,845.257996
2018-02-14,844.278992,923.560974
2018-02-15,923.728027,936.976013
2018-02-16,934.786011,944.210022
2018-02-17,944.747986,974.11499
2018-02-18,973.348999,923.921021
2018-02-19,921.66803,943.86499
2018-02-20,943.567017,895.370972
2018-02-21,894.13501,849.971008
2018-02-22,849.262024,812.844971
2018-02-23,811.585022,864.189026
2018-02-24,861.593018,840.515015
2018-02-25,839.458984,844.809998
2018-02-26,845.278015,869.315002
2018-02-27,870.36499,878.265015
2018-02-28,877.934021,855.198975
2018-03-01,856.012024,872.200012
2018-03-02,871.763977,856.853027
2018-03-03,856.710999,857.224976
2018-03-04,856.185974,866.677979
2018-03-05,866.846008,853.684021
2018-03-06,853.817017,816.950989
2018-03-07,816.270996,752.830994
2018-03-08,752.570007,704.596008
2018-03-09,702.197021,728.916016
2018-03-10,730.159973,686.890015
2018-03-11,685.312012,723.338989
2018-03-12,724.406006,699.830994
2018-03-13,698.153015,690.827026
2018-03-14,691.218994,614.291016
2018-03-15,614.838989,611.304016
2018-03-16,611.778015,601.666016
2018-03-17,601.677979,552.778992
2018-03-18,551.640015,538.643982
2018-03-19,546.625977,556.726013
2018-03-20,556.721985,557.174988
2018-03-21,559.099976,561.731995
2018-03-22,562.103027,539.702026
2018-03-23,539.864014,539.619019
2018-03-24,542.572021,526.439026
2018-03-25,522.703003,524.286987
2018-03-26,524.286987,489.950989
2018-03-27,489.589996,450.115997
2018-03-28,450.290985,446.278992
2018-03-29,448.075012,385.967987
2018-03-30,385.904999,394.644989
2018-03-31,395.003998,396.457001
2018-04-01,397.253998,379.606995
2018-04-02,379.699005,386.424988
2018-04-03,387.312012,416.893005
2018-04-04,416.484985,380.542999
2018-04-05,379.946991,383.231995
2018-04-06,382.730988,370.285004
2018-04-07,370.380005,385.313995
2018-04-08,385.743011,400.507996
2018-04-09,400.856995,398.526001
2018-04-10,399.411011,414.243011
2018-04-11,415.023987,430.540009
2018-04-12,430.161011,492.94101
2018-04-13,493.160004,492.734985
2018-04-14,492.579987,501.477997
2018-04-15,502.880005,531.702026
2018-04-16,532.073975,511.147003
2018-04-17,511.144989,502.894012
2018-04-18,503.30899,524.789001
2018-04-19,524.038025,567.888977
2018-04-20,567.989014,615.718018
2018-04-21,616.004028,605.39502
2018-04-22,606.119019,621.859985
2018-04-23,621.198975,642.547974
2018-04-24,643.39801,708.15802
2018-04-25,707.062012,615.416016
2018-04-26,618.078979,662.809021
2018-04-27,662.109009,647.031982
2018-04-28,644.645996,683.677979
2018-04-29,683.911987,688.880981
2018-04-30,689.760986,669.924011
2018-05-01,670.463013,673.612976
2018-05-02,674.075012,687.148987
2018-05-03,686.591003,779.54303
2018-05-04,776.775024,785.624023
2018-05-05,784.583008,816.119995
2018-05-06,816.088013,792.310974
2018-05-07,793.338989,753.724976
2018-05-08,755.008972,752.856995
2018-05-09,752.901978,752.275024
2018-05-10,752.578979,727.276978
2018-05-11,727.013,679.585999
2018-05-12,679.877014,686.047974
2018-05-13,687.174988,733.495972
2018-05-14,732.732971,730.549011
2018-05-15,731.143005,708.870972
2018-05-16,708.086975,707.049988
2018-05-17,708.718018,672.656982
2018-05-18,672.10199,694.367004
